Lehigh,Pennsylvania,3934.0,358792
Luzerne,Pennsylvania,5067.0,318917
Anderson,South Carolina,3300.0,192709
Greenville,South Carolina,6313.0,482191
Horry,South Carolina,5687.0,300418
Denton,Texas,5705.0,754650
Utah,Utah,3333.0,564177
Lewis,Washington,1227.0,75724
Lincoln,Washington,151.0,10326
Fairbanks North Star Borough,Alaska,942.0,100150
Cleburne,Arkansas,487.0,25587
Cleveland,Arkansas,156.0,8421
Desha,Arkansas,267.0,12234
Lincoln,Arkansas,232.0,13935
Nevada,California,1221.0,98639
Escambia,Florida,5168.0,309574
Lake,Florida,5040.0,317586
Forsyth,Georgia,1489.0,203841
Hall,Georgia,2157.0,190482
Paulding,Georgia,1615.0,149830
Troup,Georgia,1186.0,69314
Peoria,Illinois,2485.0,186818
Will,Illinois,6426.0,685378
Bartholomew,Indiana,1022.0,80203
Floyd,Indiana,1139.0,76290
Ascension,Louisiana,1263.0,117009
Frederick,Maryland,2409.0,243465
Talbot,Maryland,414.0,37668
Benton,Minnesota,378.0,39457
Blue Earth,Minnesota,555.0,65524
Hancock,Mississippi,805.0,46028
Monroe,Mississippi,648.0,36029
Cass,Missouri,1274.0,101324
Carroll,New Hampshire,681.0,47416
Hunterdon,New Jersey,1009.0,125708
Somerset,New Jersey,2537.0,331686
Allegany,New York,628.0,47700
Onondaga,New York,5156.0,468050
Ontario,New York,1322.0,109450
Durham,North Carolina,2964.0,294618
Geauga,Ohio,924.0,94020
Canadian,Oklahoma,1541.0,129571
Benton,Oregon,624.0,87455
Fairfield,South Carolina,489.0,23025
Sevier,Tennessee,1681.0,94537
Bowie,Texas,1553.0,93483
Matagorda,Texas,612.0,36719
Tooele,Utah,617.0,61986
Wasatch,Utah,194.0,27895
Orange,Vermont,334.0,28897
Stafford,Virginia,1193.0,139548
York,Virginia,514.0,66919
Outagamie,Wisconsin,1707.0,181799
Wood,Wisconsin,960.0,73621
Madison,Alabama,4805.0,349973
St. Clair,Alabama,1519.0,86576
Ketchikan Gateway Borough,Alaska,169.0,13715
Navajo,Arizona,1820.0,108209
Kern,California,10143.0,871337
Monterey,California,3342.0,430201
Sussex,Delaware,3425.0,211224
Brevard,Florida,9617.0,560683
Polk,Florida,9876.0,637691
Richmond,Georgia,3566.0,201418
Whitfield,Georgia,1273.0,103653
Hawaii,Hawaii,2580.0,193680
Madison,Idaho,156.0,38114
Franklin,Indiana,279.0,22887
Lake,Indiana,7175.0,489698
Adair,Iowa,85.0,7330
Black Hawk,Iowa,1531.0,132821
Douglas,Kansas,927.0,116352
Ford,Kansas,308.0,34492
Lyon,Kentucky,151.0,8325
East Baton Rouge,Louisiana,6265.0,445337
Washington,Louisiana,1078.0,46367
Kennebec,Maine,1717.0,120953
Oxford,Maine,925.0,57299
York,Maine,2630.0,200536
Jackson,Michigan,2396.0,159483
Otsego,Michigan,360.0,24198
Martin,Minnesota,242.0,20193
Nicollet,Minnesota,228.0,33226
Harrison,Mississippi,3488.0,198570
Jackson,Mississippi,2170.0,140850
Boone,Missouri,1502.0,172773
Cole,Missouri,883.0,76603
Jackson,Missouri,9565.0,683643
Knox,Nebraska,102.0,8551
Sarpy,Nebraska,1329.0,172460
Gloucester,New Jersey,3658.0,291286
Warren,New Jersey,1244.0,107095
Taos,New Mexico,495.0,32961
Clinton,New York,953.0,81505
Rensselaer,New York,1896.0,159959
Sullivan,New York,1109.0,75818
Wyoming,New York,500.0,41239
Iredell,North Carolina,2248.0,167493
Sampson,North Carolina,1060.0,63713
Burleigh,North Dakota,883.0,90560
Cass,North Dakota,1434.0,166852
Coshocton,Ohio,559.0,36665
Darke,Ohio,771.0,52185
Lake,Ohio,3101.0,229266
Mahoning,Ohio,3702.0,233015
Pawnee,Oklahoma,302.0,16444
Lane,Oregon,4606.0,360273
Beaver,Pennsylvania,2692.0,169205
Calhoun,South Carolina,273.0,14886
Richland,South Carolina,5030.0,401743
York,South Carolina,3216.0,245606
Brazos,Texas,1408.0,209896
Ellis,Texas,1921.0,160225
Lubbock,Texas,3776.0,294682
Charlottesville city,Virginia,405.0,45538
Goochland,Virginia,288.0,21979
Henrico,Virginia,3561.0,321921
Williamsburg city,Virginia,nan,14988
Franklin,Washington,621.0,87810
Mason,Washington,958.0,61060
Jefferson,West Virginia,815.0,55531
Kenosha,Wisconsin,1956.0,167896
Laramie,Wyoming,1158.0,96459
Park,Wyoming,365.0,29083
Calhoun,Alabama,2373.0,115883
Talladega,Alabama,1705.0,81057
Kenai Peninsula Borough,Alaska,848.0,57637
Coconino,Arizona,1508.0,138064
Bradley,Arkansas,215.0,11096
Faulkner,Arkansas,1529.0,120417
Washington,Arkansas,2419.0,219930
Mendocino,California,1236.0,87409
Yuma,Colorado,94.0,10150
Middlesex,Connecticut,1787.0,164438
Kent,Delaware,2425.0,171474
Leon,Florida,2798.0,284788
Sumter,Florida,1992.0,113589
Walton,Florida,1004.0,61528
Columbia,Georgia,1385.0,139904
Houston,Georgia,1891.0,149137
Twin Falls,Idaho,975.0,80955
Jackson,Illinois,717.0,59188
Kankakee,Illinois,1638.0,111493
Kendall,Illinois,835.0,121452
LaSalle,Illinois,1599.0,111935
Madison,Illinois,3872.0,266759
Washington,Illinois,171.0,14369
Williamson,Illinois,1015.0,67336
Clark,Indiana,1979.0,113993
Fayette,Indiana,493.0,23608
Jennings,Indiana,559.0,28023
Madison,Indiana,2159.0,129862
Washington,Iowa,266.0,22115
Winneshiek,Iowa,150.0,20789
Leavenworth,Kansas,902.0,78785
Franklin,Kentucky,893.0,49982
Kenton,Kentucky,2431.0,163393
Warren,Kentucky,1605.0,121066
Penobscot,Maine,2166.0,152978
Franklin,Massachusetts,888.0,70916
Rice,Minnesota,556.0,65116
Bolivar,Mississippi,722.0,33615
Coahoma,Mississippi,508.0,24804
DeSoto,Mississippi,2318.0,170890
Madison,Mississippi,1252.0,101791
Perry,Mississippi,227.0,12174
St. Charles,Missouri,3828.0,379856
St. Louis city,Missouri,5708.0,316030
Adams,Nebraska,417.0,31536
Lincoln,Nebraska,433.0,35777
Belknap,New Hampshire,883.0,60392
Merrimack,New Hampshire,1768.0,147715
Atlantic,New Jersey,3951.0,274026
Chenango,New York,721.0,49286
Essex,New York,497.0,38598
Hamilton,New York,nan,4697
Jefferson,New York,1183.0,117966
Livingston,New York,716.0,64622
Warren,New York,857.0,64911
Washington,New York,821.0,62465
Gaston,North Carolina,3629.0,211753
Guilford,North Carolina,6308.0,511815
Hoke,North Carolina,643.0,51853
Lincoln,North Carolina,1226.0,79783
Moore,North Carolina,1213.0,93070
New Hanover,North Carolina,2726.0,216430
Morton,North Dakota,360.0,29633
Ashland,Ohio,724.0,53343
Clark,Ohio,2649.0,136175
Delaware,Ohio,1422.0,188996
Huron,Ohio,851.0,58704
Miami,Ohio,1468.0,103864
Adams,Pennsylvania,1210.0,101759
